Date,Open,High,Low,Close,Volume
2019-01-22,0.752191,0.752372,0.748699,0.748822,56994
2019-01-23,0.748884,0.751648,0.747954,0.749535,61097
2019-01-24,0.749440,0.750278,0.747708,0.749030,68698
2019-01-25,0.748811,0.756750,0.748441,0.756556,62082
2019-01-28,0.756596,0.757455,0.752723,0.754080,49891
2019-01-29,0.754091,0.755247,0.752791,0.753693,62000
2019-01-30,0.753659,0.762335,0.753001,0.760607,69058
2019-01-31,0.760416,0.762230,0.759630,0.762096,68739
2019-02-01,0.762073,0.765246,0.760081,0.763522,61624
2019-02-04,0.763919,0.764263,0.760653,0.762852,48500
2019-02-05,0.762759,0.763289,0.760323,0.761934,47114
2019-02-06,0.761829,0.761980,0.756762,0.756997,50994
2019-02-07,0.756939,0.757421,0.750954,0.751535,48990
2019-02-08,0.751512,0.755778,0.750283,0.753421,49991
2019-02-11,0.753773,0.754102,0.750863,0.751925,36654
2019-02-12,0.751908,0.755732,0.751100,0.755624,43266
2019-02-13,0.755612,0.757857,0.754227,0.754558,38922
2019-02-14,0.754461,0.755978,0.749653,0.752230,50316
2019-02-15,0.752208,0.755087,0.751191,0.754962,43806
2019-02-18,0.754768,0.756189,0.754495,0.755521,32144
2019-02-19,0.755521,0.757312,0.752989,0.757025,43796
2019-02-20,0.756945,0.760503,0.756710,0.759059,46535
2019-02-21,0.758990,0.759780,0.755681,0.755898,59822
2019-02-22,0.755801,0.761441,0.755219,0.761354,48279
2019-02-25,0.761429,0.762672,0.757782,0.758374,49769
2019-02-26,0.758374,0.760219,0.755584,0.759457,48562
2019-02-27,0.759434,0.762352,0.758990,0.760208,122624
2019-02-28,0.760150,0.761076,0.757214,0.759348,54966
2019-03-01,0.759059,0.761673,0.751558,0.751558,60090
2019-03-04,0.753290,0.753358,0.749805,0.751812,50731
2019-03-05,0.751648,0.751840,0.748548,0.749182,47806
2019-03-06,0.749064,0.749210,0.743135,0.744014,54254
2019-03-07,0.744158,0.745573,0.742578,0.743279,66573
2019-03-08,0.743284,0.746859,0.742650,0.745345,63968
2019-03-11,0.745362,0.746753,0.744097,0.746631,46703
2019-03-12,0.746670,0.749036,0.745368,0.748862,53602
2019-03-13,0.748884,0.752468,0.747915,0.751959,59142
2019-03-14,0.751965,0.752666,0.749271,0.750188,56202
2019-03-15,0.750199,0.752542,0.747921,0.749805,51130
2019-03-18,0.749873,0.751846,0.748251,0.749828,46824
2019-03-19,0.749822,0.754734,0.749423,0.750683,62695
2019-03-20,0.750672,0.754330,0.749249,0.752078,63333
2019-03-21,0.752072,0.753341,0.746330,0.748458,75289
2019-03-22,0.748458,0.749002,0.744685,0.744768,87883
